PROVRES;TIPPARTO;SEXO;IMEDAD;ITIEMGEST;IMINSTRUC;IPESONAC;CUENTA
86;1;2;5.30 a 34;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;39
46;1;1;4.25 a 29;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;2
58;1;1;4.25 a 29;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;5
70;1;1;4.25 a 29;3.24 a 27;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;2
18;1;1;2.15 a 19;4.28 a 31;4.Sin especificar;1.Menos de 2500 gramos;1
90;1;2;1.Menor de 15;5.32 a 36;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
78;1;2;7.40 a 44;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;2
30;2;1;2.15 a 19;6.37 a 41;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;2
06;2;2;6.35 a 39;4.28 a 31;4.Sin especificar;1.Menos de 2500 gramos;1
54;1;2;3.20 a 24;8.Sin especificar;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;1
34;1;1;2.15 a 19;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;5
22;1;2;6.35 a 39;7.42 y más;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
99;1;9;2.15 a 19;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
90;1;1;3.20 a 24;7.42 y más;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
10;2;2;6.35 a 39;5.32 a 36;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
62;1;2;5.30 a 34;4.28 a 31;4.Sin especificar;1.Menos de 2500 gramos;1
06;1;1;6.35 a 39;8.Sin especificar;2.Secundaria/Polimodal Incompleta;3.Sin especificar;2
82;2;2;3.20 a 24;2.22 a 23;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
62;1;2;4.25 a 29;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;553
54;1;2;8.De 45 y más;4.28 a 31;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
99;9;1;7.40 a 44;5.32 a 36;4.Sin especificar;2.2500 gramos y más;1
78;2;2;7.40 a 44;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
86;1;2;2.15 a 19;5.32 a 36;2.Secundaria/Polimodal Incompleta;3.Sin especificar;1
26;1;2;7.40 a 44;5.32 a 36;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
82;1;1;2.15 a 19;5.32 a 36;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;13
46;1;2;4.25 a 29;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;45
74;1;2;2.15 a 19;6.37 a 41;4.Sin especificar;2.2500 gramos y más;3
66;2;1;7.40 a 44;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;1
22;1;1;2.15 a 19;6.37 a 41;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;6
90;2;2;6.35 a 39;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
58;1;1;2.15 a 19;5.32 a 36;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;3
14;2;2;5.30 a 34;5.32 a 36;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
10;1;2;3.20 a 24;3.24 a 27;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
02;2;1;6.35 a 39;5.32 a 36;4.Sin especificar;1.Menos de 2500 gramos;8
82;1;2;5.30 a 34;8.Sin especificar;3.Secundario/Polimodal Completa y más;3.Sin especificar;1
54;1;2;4.25 a 29;8.Sin especificar;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
18;1;2;3.20 a 24;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;4
62;2;1;4.25 a 29;6.37 a 41;4.Sin especificar;1.Menos de 2500 gramos;2
18;2;2;5.30 a 34;5.32 a 36;4.Sin especificar;1.Menos de 2500 gramos;2
22;1;2;3.20 a 24;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;12
54;1;1;5.30 a 34;6.37 a 41;4.Sin especificar;2.2500 gramos y más;116
22;2;2;4.25 a 29;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;2
66;1;2;1.Menor de 15;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
66;1;1;7.40 a 44;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;33
70;1;1;2.15 a 19;3.24 a 27;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
34;1;1;6.35 a 39;8.Sin especificar;4.Sin especificar;3.Sin especificar;2
90;1;2;5.30 a 34;3.24 a 27;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;5
74;1;1;6.35 a 39;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;5
